OBJECTID,FID_OutputLines,FID_Intersections
1092,385,4994
1093,385,4995
1094,388,5035
1095,388,5036
1096,388,5037
1097,389,5059
1098,389,5060
1099,389,5061
1100,390,5062
1101,390,5063
1102,390,5064
1103,391,5092
1104,391,5093
1105,391,5094
1106,393,5068
1107,393,5069
1108,393,5070
1109,398,5086
1110,398,5087
1111,398,5088
1112,399,5101
1113,399,5102
1114,399,5103
1115,434,5362
1116,434,5363
1117,434,5364
1118,435,5368
1119,435,5369
1120,435,5370
1121,456,5554
1122,456,5555
1123,456,5556
1124,457,5563
1125,457,5564
1126,457,5565
1127,460,5665
1128,460,5666
1129,460,5667
1130,495,5743
1131,495,5744
1132,495,5745
1133,498,5752
1134,498,5753
1135,498,5754
1136,499,5755
1137,499,5756
1138,499,5757
1139,500,5758
1140,500,5759
1141,500,5760
1142,502,5767
1143,502,5768
1144,502,5769
1145,505,5770
1146,505,5771
1147,505,5772
1148,509,5812
1149,509,5813
1150,509,5814
1151,512,5788
1152,512,5789
1153,512,5790
1154,513,4702
1155,513,4703
1156,513,4704
1157,514,5806
1158,514,5807
1159,514,5808
1160,515,5815
1161,515,5816
1162,515,5817
1163,517,5818
1164,517,5819
1165,517,5820
1166,519,3757
1167,519,3758
1168,519,3759
1169,521,5833
1170,521,5834
1171,521,5835
1172,522,5842
1173,522,5843
1174,522,5844
1175,573,6124
1176,573,6125
1177,573,6126
1178,582,6271
1179,582,6272
1180,582,6273
1181,583,4714
1182,583,4715
1183,583,4716
1184,588,4708
1185,588,4709
1186,588,4710
1187,589,6301
1188,589,6302
1189,589,6303
1190,596,4696
1191,596,4697
1192,596,4698
1193,604,6430
1194,604,6431
1195,604,6432
1196,647,6394
1197,647,6395
1198,647,6396
1199,647,6397
1200,647,6398
1201,647,6399
1202,648,6400
1203,648,6401
1204,648,6402
1205,648,6403
1206,648,6404
1207,648,6405
1208,656,6409
1209,656,6410
1210,656,6411
1211,657,6406
1212,657,6407
1213,657,6408
1214,665,6415
1215,665,6416
1216,665,6417
1217,666,6412
1218,666,6413
1219,666,6414
1220,670,6418
1221,670,6419
1222,670,6420
1223,671,6421
1224,671,6422
1225,671,6423
1226,672,6478
1227,672,6479
1228,672,6480
1229,673,6433
1230,673,6434
1231,673,6435
1232,674,6436
1233,674,6437
1234,674,6438
1235,675,6442
1236,675,6443
1237,675,6444
1238,680,6454
1239,680,6455
1240,680,6456
1241,682,6481
1242,682,6482
1243,682,6483
1244,686,6466
1245,686,6467
1246,686,6468
1247,688,6469
1248,688,6470
1249,688,6471
1250,689,6472
1251,689,6473
1252,689,6474
1253,755,6769
1254,755,6770
1255,755,6771
1256,758,4705
1257,758,4706
1258,758,4707
1259,759,6919
1260,759,6920
1261,759,6921
1262,764,6925
1263,764,6926
1264,764,6927
1265,776,4699
1266,776,4700
1267,776,4701
1268,839,4693
1269,839,4694
1270,839,4695
1271,841,7045
1272,841,7046
1273,841,7047
1274,851,7048
1275,851,7049
1276,851,7050
1277,859,7063
1278,859,7064
1279,859,7065
1280,861,7066
1281,861,7067
1282,861,7068
1283,862,7069
1284,862,7070
1285,862,7071
1286,864,7078
1287,864,7079
1288,864,7080
1289,867,7084
1290,867,7085
1291,867,7086
1292,868,7087
1293,868,7088
1294,868,7089
1295,869,7090
1296,869,7091
1297,869,7092
1298,870,7096
1299,870,7097
1300,870,7098
1301,871,7093
1302,871,7094
1303,871,7095
1304,873,7108
1305,873,7109
1306,873,7110
1307,875,7123
1308,875,7124
1309,875,7125
1310,876,7126
1311,876,7127
1312,876,7128
1313,877,7129
1314,877,7130
1315,877,7131
1316,878,7144
1317,878,7145
1318,878,7146
1319,926,4399
1320,926,4400
1321,926,4401
1322,927,7639
1323,927,7640
1324,927,7641
1325,938,6724
1326,938,6725
1327,938,6726
1328,940,7384
1329,940,7385
1330,940,7386
1331,941,7387
1332,941,7388
1333,941,7389
1334,942,7390
1335,942,7391
1336,942,7392
1337,945,7468
1338,945,7469
1339,945,7470
1340,948,7480
1341,948,7481
1342,948,7482
1343,949,7486
1344,949,7487
1345,949,7488
1346,957,7498
1347,957,7499
1348,957,7500
1349,966,4717
1350,966,4718
1351,966,4719
1352,982,7591
1353,982,7592
1354,982,7593
1355,1001,7594
1356,1001,7595
1357,1001,7596
1358,1002,7597
1359,1002,7598
1360,1002,7599
1361,1003,7600
1362,1003,7601
1363,1003,7602
1364,1004,7603
1365,1004,7604
1366,1004,7605
1367,1007,7606
1368,1007,7607
1369,1007,7608
1370,1015,7618
1371,1015,7619
1372,1015,7620
1373,1023,7663
1374,1023,7664
1375,1023,7665
1376,1028,7636
1377,1028,7637
1378,1028,7638
1379,1029,7072
1380,1029,7073
1381,1029,7074
1382,1030,7690
1383,1030,7691
1384,1030,7692
1385,1032,7645
1386,1032,7646
1387,1032,7647
1388,1033,7648
1389,1033,7649
1390,1033,7650
1391,1034,7651
1392,1034,7652
1393,1034,7653
1394,1035,7654
1395,1035,7655
1396,1035,7656
1397,1037,7657
1398,1037,7658
1399,1037,7659
1400,1040,7681
1401,1040,7682
1402,1040,7683
1403,1043,7678
1404,1043,7679
1405,1043,7680
1406,1045,7483
1407,1045,7484
1408,1045,7485
1409,1046,7474
1410,1046,7475
1411,1046,7476
1412,1048,7693
1413,1048,7694
1414,1048,7695
1415,1049,7699
1416,1049,7700
1417,1049,7701
1418,1080,7870
1419,1080,7871
1420,1080,7872
1421,1115,8002
1422,1115,8003
1423,1115,8004
1424,1121,7489
1425,1121,7490
1426,1121,7491
1427,1122,7669
1428,1122,7670
1429,1122,7671
1430,1181,8089
1431,1181,8090
1432,1181,8091
1433,1182,8086
1434,1182,8087
1435,1182,8088
1436,1185,8080
1437,1185,8081
1438,1185,8082
1439,1185,8083
1440,1185,8084
1441,1185,8085
1442,1191,8095
1443,1191,8096
1444,1191,8097
1445,1193,8098
1446,1193,8099
1447,1193,8100
1448,1194,8101
1449,1194,8102
1450,1194,8103
1451,1198,8104
1452,1198,8105
1453,1198,8106
1454,1200,8107
1455,1200,8108
1456,1200,8109
1457,1203,8131
1458,1203,8132
1459,1203,8133
1460,1204,8113
1461,1204,8114
1462,1204,8115
1463,1205,8128
1464,1205,8129
1465,1205,8130
1466,1206,8137
1467,1206,8138
1468,1206,8139
1469,1207,8134
1470,1207,8135
1471,1207,8136
1472,1210,7642
1473,1210,7643
1474,1210,7644
1475,1211,7471
1476,1211,7472
1477,1211,7473
1478,1212,8140
1479,1212,8141
1480,1212,8142
1481,1213,8143
1482,1213,8144
1483,1213,8145
1484,1215,8149
1485,1215,8150
1486,1215,8151
1487,1217,8152
1488,1217,8153
1489,1217,8154
1490,1264,8398
1491,1264,8399
1492,1264,8400
1493,1267,8395
1494,1267,8396
1495,1267,8397
1496,1270,8449
1497,1270,8450
1498,1270,8451
1499,1277,8620
1500,1277,8621
1501,1277,8622
1502,1278,8383
1503,1278,8384
1504,1278,8385
1505,1280,8452
1506,1280,8453
1507,1280,8454
1508,1282,8446
1509,1282,8447
1510,1282,8448
1511,1283,7477
1512,1283,7478
1513,1283,7479
1514,1284,8458
1515,1284,8459
1516,1284,8460
1517,1285,6268
1518,1285,6269
1519,1285,6270
1520,1286,4711
1521,1286,4712
1522,1286,4713
1523,1287,8461
1524,1287,8462
1525,1287,8463
1526,1291,7684
1527,1291,7685
1528,1291,7686
1529,1296,8635
1530,1296,8636
1531,1296,8637
1532,1346,8572
1533,1346,8573
1534,1346,8574
1535,1348,8575
1536,1348,8576
1537,1348,8577
1538,1349,8578
1539,1349,8579
1540,1349,8580
1541,1350,8593
1542,1350,8594
1543,1350,8595
1544,1351,8581
1545,1351,8582
1546,1351,8583
1547,1352,8584
1548,1352,8585
1549,1352,8586
1550,1357,8617
1551,1357,8618
1552,1357,8619
1553,1358,8614
1554,1358,8615
1555,1358,8616
1556,1359,8623
1557,1359,8624
1558,1359,8625
1559,1360,8596
1560,1360,8597
1561,1360,8598
1562,1361,5773
1563,1361,5774
1564,1361,5775
1565,1363,8608
1566,1363,8609
1567,1363,8610
1568,1366,8626
1569,1366,8627
1570,1366,8628
1571,1368,8629
1572,1368,8630
1573,1368,8631
1574,1370,8632
1575,1370,8633
1576,1370,8634
1577,1372,3754
1578,1372,3755
1579,1372,3756
1580,1460,24841
1581,1460,24842
1582,1460,24843
1583,1465,24853
1584,1465,24854
1585,1465,24855
1586,1471,24850
1587,1471,24851
1588,1471,24852
1589,1476,24862
1590,1476,24863
1591,1476,24864
1592,1480,24865
1593,1480,24866
1594,1480,24867
1595,1483,24874
1596,1483,24875
1597,1483,24876
1598,1487,24868
1599,1487,24869
1600,1487,24870
1601,1494,24871
1602,1494,24872
1603,1494,24873
1604,1495,24904
1605,1495,24905
1606,1495,24906
1607,1497,24886
1608,1497,24887
1609,1497,24888
1610,1498,24892
1611,1498,24893
1612,1498,24894
1613,1501,24895
1614,1501,24896
1615,1501,24897
1616,1502,24889
1617,1502,24890
1618,1502,24891
1619,1503,25027
1620,1503,25028
1621,1503,25029
1622,1505,24901
1623,1505,24902
1624,1505,24903
1625,1506,24931
1626,1506,24932
1627,1506,24933
1628,1507,24949
1629,1507,24950
1630,1507,24951
1631,1508,24955
1632,1508,24956
1633,1508,24957
1634,1512,24952
1635,1512,24953
