OBJECTID,Road_OBJECTID,LINEARID,Long,Lat
20687,17386,110459341526,-88.008712,43.069841
20688,31314,110459337887,-88.008712,43.069841
20689,17370,110459341526,-88.011166,43.069805
20690,17384,110459341526,-88.011166,43.069805
20691,37392,110459337950,-88.011166,43.069805
20692,17376,110459341526,-88.033513,43.069845
20693,35635,110459346172,-88.033513,43.069845
20694,35636,110459346172,-88.033513,43.069845
20695,17391,110459341761,-87.943754,43.009254
20696,27895,1102213783477,-87.943754,43.009254
20697,27898,1102213783477,-87.943754,43.009254
20698,17392,110459341761,-87.94799,43.009298
20699,29648,1104492608267,-87.94799,43.009298
20700,29656,1104492608267,-87.94799,43.009298
20701,17410,1102968797610,-87.980772,43.080785
20702,30547,110459337336,-87.980772,43.080785
20703,30549,110459337336,-87.980772,43.080785
20704,17411,1102968797610,-87.987181,43.080857
20705,34116,1102968780633,-87.987181,43.080857
20706,34136,1102968780633,-87.987181,43.080857
20707,17412,1102968797610,-87.983295,43.080814
20708,17413,1102968797610,-87.983295,43.080814
20709,37537,110459337380,-87.983295,43.080814
20710,17420,110459346167,-87.914548,43.03599
20711,17422,110459346167,-87.914548,43.03599
20712,33528,110459335913,-87.914548,43.03599
20713,17423,1102213918790,-87.912837,43.0065
20714,17424,1102213918790,-87.912837,43.0065
20715,26442,1102210470580,-87.912837,43.0065
20716,17424,1102213918790,-87.917791,43.006507
20717,24599,1102328138470,-87.917791,43.006507
20718,24602,1102328138470,-87.917791,43.006507
20719,17425,1102213929727,-87.91409,43.002851
20720,17428,1102213929727,-87.91409,43.002851
20721,24829,110459335923,-87.91409,43.002851
20722,17431,110459346826,-87.989696,43.121219
20723,17432,110459346826,-87.989696,43.121219
20724,37528,110459337543,-87.989696,43.121219
20725,17431,110459346826,-87.988291,43.121193
20726,37519,110459337512,-87.988291,43.121193
20727,37520,110459337512,-87.988291,43.121193
20728,17434,110459346826,-87.993525,43.121288
20729,17438,110459346826,-87.993525,43.121288
20730,35466,110459337621,-87.993525,43.121288
20731,17439,110459346339,-87.97797,43.100885
20732,17440,110459346339,-87.97797,43.100885
20733,35391,110459337269,-87.97797,43.100885
20734,17439,110459346339,-87.976799,43.100881
20735,30454,110459337242,-87.976799,43.100881
20736,30457,110459337242,-87.976799,43.100881
20737,17442,110459338693,-87.960215,43.093475
20738,17459,110459338693,-87.960215,43.093475
20739,31478,110459344209,-87.960215,43.093475
20740,17442,110459338693,-87.960791,43.093474
20741,17462,110459338693,-87.960791,43.093474
20742,30540,110459336900,-87.960791,43.093474
20743,17443,110459338693,-87.961352,43.093473
20744,17462,110459338693,-87.961352,43.093473
20745,31440,110459346616,-87.961352,43.093473
20746,17444,110459338693,-87.968134,43.093445
20747,17449,110459338693,-87.968134,43.093445
20748,36511,1103676879426,-87.968134,43.093445
20749,17445,110459338693,-87.962949,43.093469
20750,17451,110459338693,-87.962949,43.093469
20751,35456,110459336950,-87.962949,43.093469
20752,17446,110459338693,-87.966101,43.093462
20753,17456,110459338693,-87.966101,43.093462
20754,34464,110459336990,-87.966101,43.093462
20755,17449,110459338693,-87.968474,43.093444
20756,17454,110459338693,-87.968474,43.093444
20757,34461,110459337042,-87.968474,43.093444
20758,17450,110459338693,-87.971085,43.093469
20759,17452,110459338693,-87.971085,43.093469
20760,35455,110459337109,-87.971085,43.093469
20761,17450,110459338693,-87.970223,43.093464
20762,17455,110459338693,-87.970223,43.093464
20763,35741,110459337062,-87.970223,43.093464
20764,17451,110459338693,-87.96309,43.093469
20765,17461,110459338693,-87.96309,43.093469
20766,31029,110459336956,-87.96309,43.093469
20767,17452,110459338693,-87.971199,43.093469
20768,17460,110459338693,-87.971199,43.093469
20769,31438,1103676879194,-87.971199,43.093469
20770,17453,110459338693,-87.969201,43.093453
20771,17454,110459338693,-87.969201,43.093453
20772,34687,110459337031,-87.969201,43.093453
20773,17453,110459338693,-87.969871,43.093462
20774,17455,110459338693,-87.969871,43.093462
20775,34463,110459337078,-87.969871,43.093462
20776,17466,110459346762,-87.973636,43.085111
20777,17470,110459346762,-87.973636,43.085111
20778,35397,110459337174,-87.973636,43.085111
20779,17467,110459346762,-87.972475,43.084208
20780,17469,110459346762,-87.972475,43.084208
20781,36486,110459337139,-87.972475,43.084208
20782,17472,110459344030,-87.959915,43.154233
20783,31284,110459336892,-87.959915,43.154233
20784,31285,110459336892,-87.959915,43.154233
20785,17472,110459344030,-87.958593,43.154477
20786,35851,1104492562170,-87.958593,43.154477
20787,35854,1104492562170,-87.958593,43.154477
20788,17473,110459343054,-87.959131,43.149985
20789,31283,110459336892,-87.959131,43.149985
20790,31286,110459336892,-87.959131,43.149985
20791,17474,110459339072,-87.959805,43.143622
20792,17475,110459339072,-87.959805,43.143622
20793,31290,110459342343,-87.959805,43.143622
20794,17474,110459339072,-87.9588,43.144047
20795,35215,110459341270,-87.9588,43.144047
20796,35216,110459341270,-87.9588,43.144047
20797,17475,110459339072,-87.960895,43.143628
20798,17476,110459339072,-87.960895,43.143628
20799,36461,110459336954,-87.960895,43.143628
20800,17476,110459339072,-87.96202,43.143634
20801,17477,110459339072,-87.96202,43.143634
20802,32430,110459336944,-87.96202,43.143634
20803,17477,110459339072,-87.963151,43.143639
20804,32427,110459336971,-87.963151,43.143639
20805,32429,110459336971,-87.963151,43.143639
20806,17478,110459342860,-87.9572,43.131236
20807,17481,110459342860,-87.9572,43.131236
20808,36340,110459336825,-87.9572,43.131236
20809,17480,110459342860,-87.967335,43.129756
20810,36463,110459343017,-87.967335,43.129756
20811,36464,110459343017,-87.967335,43.129756
20812,17481,110459342860,-87.9584,43.131249
20813,17482,110459342860,-87.9584,43.131249
20814,35316,110459336864,-87.9584,43.131249
20815,17482,110459342860,-87.959659,43.131262
20816,17484,110459342860,-87.959659,43.131262
20817,33340,110459336898,-87.959659,43.131262
20818,17483,110459342860,-87.962577,43.131217
20819,17485,110459342860,-87.962577,43.131217
20820,34480,110459336951,-87.962577,43.131217
20821,17488,110459342425,-87.938145,43.006832
20822,24267,1102968779048,-87.938145,43.006832
20823,24269,1102968779048,-87.938145,43.006832
20824,17489,110459341145,-87.927844,43.049929
20825,17492,110459341145,-87.927844,43.049929
20826,30568,110459336233,-87.927844,43.049929
20827,17489,110459341145,-87.92711,43.049904
20828,32926,1105317147498,-87.92711,43.049904
20829,32935,1105317147498,-87.92711,43.049904
20830,17491,110459341145,-87.931421,43.049944
20831,17493,110459341145,-87.931421,43.049944
20832,32518,110459336280,-87.931421,43.049944
20833,17494,110459346557,-87.92716,43.047146
20834,32928,1105317147498,-87.92716,43.047146
20835,32932,1105317147498,-87.92716,43.047146
20836,17495,110459346557,-87.930064,43.04716
20837,30563,110459336266,-87.930064,43.04716
20838,30564,110459336266,-87.930064,43.04716
20839,17497,110459342265,-87.923371,43.049642
