OBJECTID,LINEARID,FULLNAME,RTTYP,MTFCC,LatStart,LongStart,LatEnd,LongEnd,SegLength,Shape_Length
206,1102213915480,Wintergreen Ct,M,S1400,42.945302,-88.018861,42.945294,-88.019139,24.83142661,0.000278114
207,110459340962,Azalea Ct,M,S1400,42.944377,-87.999217,42.942082,-88.000033,292.5071013,0.001403232
208,110459340962,Azalea Ct,M,S1400,42.944377,-87.999217,42.942082,-88.000033,292.5071013,0.001094047
209,110459339724,Angle Ln,M,S1400,42.943758,-87.995245,42.94241,-87.997409,348.8241933,0.00342862
210,110459348121,Trail Ridge Ct,M,S1400,42.93596,-87.968325,42.935472,-87.968341,59.30503471,0.000488267
211,110459343899,Midland Ct,M,S1400,42.950655,-88.02024,42.951451,-88.020387,111.3297253,0.000996191
212,1102968786321,Gardenway,M,S1400,42.941133,-88.022165,42.936372,-88.0285,1061.657582,0.001038364
213,1102968786321,Gardenway,M,S1400,42.941133,-88.022165,42.936372,-88.0285,1061.657582,0.001002191
214,1102968786321,Gardenway,M,S1400,42.941133,-88.022165,42.936372,-88.0285,1061.657582,0.000520072
215,1102968786321,Gardenway,M,S1400,42.941133,-88.022165,42.936372,-88.0285,1061.657582,0.004254335
216,1102968786321,Gardenway,M,S1400,42.941133,-88.022165,42.936372,-88.0285,1061.657582,0.000937036
217,1102968786321,Gardenway,M,S1400,42.941133,-88.022165,42.936372,-88.0285,1061.657582,0.00041176
218,1102968786321,Gardenway,M,S1400,42.941133,-88.022165,42.936372,-88.0285,1061.657582,0.000930741
219,1102968786321,Gardenway,M,S1400,42.941133,-88.022165,42.936372,-88.0285,1061.657582,7.34132E-05
220,1102968786321,Gardenway,M,S1400,42.941133,-88.022165,42.936372,-88.0285,1061.657582,0.001020985
221,110459342928,Garland Ln,M,S1400,42.941616,-88.02093,42.942636,-88.024837,414.602675,0.004324721
222,1102390038802,Parkview Rd,M,S1400,42.937577,-88.01389,42.936271,-88.015546,223.585001,0.001380641
223,1102390038802,Parkview Rd,M,S1400,42.937577,-88.01389,42.936271,-88.015546,223.585001,0.000785718
224,110459347405,Parkridge Ln,M,S1400,42.950502,-88.014589,42.949969,-88.018345,432.0792661,0.00182162
225,110459347405,Parkridge Ln,M,S1400,42.950502,-88.014589,42.949969,-88.018345,432.0792661,0.000883708
226,110459347405,Parkridge Ln,M,S1400,42.950502,-88.014589,42.949969,-88.018345,432.0792661,0.001722233
227,110459348923, , ,S1400,42.947134,-88.001041,42.947134,-88.001041,73.90575366,0.000687394
228,1103747760608,Magnolia Ct,M,S1400,42.949536,-87.998576,42.948672,-87.999634,282.0922013,0.002897783
229,110459341420,Exeter St,M,S1400,42.944179,-88.005168,42.942123,-88.006514,288.3463573,0.000647123
230,110459341420,Exeter St,M,S1400,42.944179,-88.005168,42.942123,-88.006514,288.3463573,0.001075169
231,110459341420,Exeter St,M,S1400,42.944179,-88.005168,42.942123,-88.006514,288.3463573,0.000880355
232,110459339989,Eaton Ln,M,S1400,42.94116,-88.006733,42.941101,-88.007849,257.6514437,0.002453118
233,110459346657,Overlook Ct,M,S1400,42.931293,-88.010743,42.93254,-88.009732,193.808438,0.001798976
234,110459347259,Hill Park Ct,M,S1400,42.922336,-88.008235,42.923999,-88.007128,241.9458751,0.002201908
235,110459341345,Dryden Ct,M,S1400,42.934135,-88.001722,42.934119,-88.002219,44.41123264,0.000497269
236,110459341300,Dobson Ct,M,S1400,42.933154,-88.001744,42.933231,-88.002268,47.70438014,0.000529629
